<Radar>雷达工作参数上报
11	0	77	35	0	28	3000	0	0
11	1	77	35	0	2	6000	0	0
11	2	129	35	0	2	3000	0	0
11	3	0	0	1	2	2000	2	1
11	4	129	35	0	25	6000	0	0
11	5	181	35	0	25	3000	0	0
11	6	398	25	0	25	3000	1	1
11	7	0	0	1	25	2000	2	1
11	8	0	0	1	25	2000	2	1
11	9	181	35	0	17	6000	0	0
11	10	233	35	0	17	3000	0	0
<Radar>雷达工作参数上报
10	0	233	35	0	17	6000	0	0
10	1	285	35	0	36	3000	0	0
10	2	285	35	0	36	6000	0	0
10	3	337	35	0	36	3000	0	0
10	4	0	0	1	36	2000	2	1
10	5	337	35	0	10	6000	0	0
10	6	389	35	0	10	3000	0	0
10	7	389	35	0	10	6000	0	0
10	8	441	35	0	16	3000	0	0
10	9	441	35	0	16	6000	0	0
<Radar>雷达工作参数上报
12	0	493	35	0	16	3000	0	0
12	1	0	0	1	16	2000	2	1
12	2	493	35	0	14	6000	0	0
12	3	545	35	0	14	3000	0	0
12	4	545	35	0	14	6000	0	0
12	5	597	35	0	34	3000	0	0
12	6	597	35	0	34	6000	0	0
12	7	649	35	0	34	3000	0	0
12	8	0	0	1	34	2000	2	1
12	9	0	0	1	34	2000	2	1
12	10	398	25	0	38	3000	1	1
12	11	649	35	0	38	6000	0	0
<Radar>雷达工作参数上报
9	0	-196	35	0	5	3000	0	0
9	1	-196	35	0	5	6000	0	0
9	2	-144	35	0	5	3000	0	0
9	3	-144	35	0	5	6000	0	0
9	4	-92	35	0	25	3000	0	0
9	5	-92	35	0	25	6000	0	0
9	6	-40	35	0	25	3000	0	0
9	7	0	0	1	25	2000	2	1
9	8	-40	35	0	17	6000	0	0
<Radar>雷达工作参数上报
10	0	25	35	0	17	3000	0	0
10	1	25	35	0	39	6000	0	0
10	2	77	35	0	39	3000	0	0
10	3	77	35	0	39	6000	0	0
10	4	129	35	0	39	3000	0	0
10	5	0	0	1	39	2000	2	1
10	6	129	35	0	1	6000	0	0
10	7	181	35	0	1	3000	0	0
10	8	181	35	0	13	6000	0	0
10	9	233	35	0	13	3000	0	0
<Radar>雷达工作参数上报
11	0	233	35	0	13	6000	0	0
11	1	398	25	0	13	3000	1	1
11	2	285	35	0	15	3000	0	0
11	3	285	35	0	15	6000	0	0
11	4	337	35	0	22	3000	0	0
11	5	337	35	0	22	6000	0	0
11	6	389	35	0	22	3000	0	0
11	7	389	35	0	9	6000	0	0
11	8	441	35	0	9	3000	0	0
11	9	0	0	1	9	2000	2	1
11	10	441	35	0	9	6000	0	0
<Radar>雷达工作参数上报
9	0	493	35	0	9	3000	0	0
9	1	493	35	0	6	6000	0	0
9	2	545	35	0	6	3000	0	0
9	3	545	35	0	6	6000	0	0
9	4	597	35	0	24	3000	0	0
9	5	0	0	1	24	2000	2	1
9	6	597	35	0	24	6000	0	0
9	7	649	35	0	24	3000	0	0
